Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
1999-01-08,12.782728576660157,12.441174697875976,11.972250747680665,15.868191719055176,25.817182540893555,15.108135986328126,12.523822593688966,18.412255096435548,20.04422950744629
1999-01-15,12.75954475402832,12.046897697448731,11.712991905212402,15.563337326049805,25.96789436340332,14.591666793823242,12.282904052734375,18.587855911254884,19.73996505737305
1999-01-25,12.251302528381348,11.89411506652832,11.535521316528321,15.298337745666505,26.794475555419922,14.242131614685059,12.525118446350097,18.826332092285156,19.768049240112305
1999-02-01,12.108638954162597,11.512975692749023,11.547867965698241,15.403940773010254,27.988422393798828,14.736001205444335,12.257000732421876,18.824168014526368,20.418716430664062
1999-02-08,12.429633903503419,11.782402038574219,11.313298416137695,15.513528060913085,27.44208526611328,14.793389511108398,11.978519058227539,18.843673706054688,20.41403732299805
1999-02-16,12.283400917053223,11.811971664428711,11.29632511138916,15.505558586120605,26.356455993652343,14.553407287597656,11.903397178649902,18.63989143371582,20.046572875976562
1999-02-23,12.174622535705566,11.463689613342286,11.856512260437011,15.764579010009765,26.19632339477539,14.798604393005371,12.048465728759766,18.99976463317871,20.48893051147461
1999-03-02,12.155006599426269,11.317477607727051,11.91360912322998,15.645027160644531,25.791272354125976,14.736001586914062,11.80236644744873,18.926060104370116,20.435100936889647
1999-03-09,12.183536529541016,11.889184188842773,12.30867042541504,15.902061271667481,26.097414398193358,14.969021034240722,11.745372772216797,19.27075958251953,21.17236442565918
1999-03-16,12.558028984069825,12.810813713073731,12.788607597351074,16.196953582763673,26.69321174621582,15.252469444274903,11.869718742370605,19.63280487060547,21.794946670532227
1999-03-23,12.674524688720703,13.08200511932373,12.590878868103028,16.047374153137206,26.785055923461915,15.284249305725098,11.761338424682616,19.54608612060547,21.612281036376952
1999-03-30,12.560901260375976,13.08109645843506,12.432635688781739,15.941409873962403,27.291366577148438,15.056426811218262,11.40933780670166,19.437688446044923,21.36874656677246
1999-04-07,12.596687126159669,13.071202659606934,12.551778411865234,16.275397872924806,28.588938522338868,14.735894203186035,11.38326358795166,19.769383239746094,21.673345184326173
1999-04-14,13.206839561462402,13.358083724975586,13.179987335205078,16.88337821960449,28.810302734375,15.106949996948241,11.779610061645508,20.703767395019533,22.624620819091795
1999-04-21,14.654384994506836,14.200588798522949,13.05620174407959,18.00333251953125,27.034679794311522,14.389227485656738,11.964745140075683,19.875612640380858,22.160699462890626
1999-04-28,14.815421295166015,14.230267524719238,13.365664291381837,18.251322555541993,28.69490966796875,14.739377212524413,12.222896194458007,20.866357803344727,22.62462158203125
1999-05-05,15.781641387939453,15.13213062286377,13.192366981506348,18.65131492614746,27.870679092407226,14.439744567871093,12.329801177978515,20.261503219604492,22.198187255859374
1999-05-12,15.996364784240722,14.952412986755371,13.080960464477538,19.061294174194337,28.212146759033203,14.408391189575195,12.250271606445313,20.469626235961915,22.188818740844727
1999-05-19,15.400526428222657,14.564962577819824,13.02525577545166,18.623309707641603,28.774982070922853,14.427552604675293,12.389779853820801,20.248497009277344,21.921706771850587
1999-05-26,14.971090126037598,14.672128677368164,12.522377014160156,18.367321014404297,27.88716926574707,14.178441619873047,12.456265830993653,19.912465286254882,21.28907699584961
1999-06-03,14.541658210754395,14.57155704498291,12.239225578308105,18.10333366394043,27.470342254638673,14.004235649108887,12.320673942565918,19.509230422973634,21.103980255126952
1999-06-10,14.946040153503418,14.962305641174316,12.370744132995606,18.635308837890626,28.223922729492188,14.227217674255371,12.513634872436523,19.853931427001953,21.44840850830078
1999-06-17,15.262745475769043,15.262380218505859,12.30885181427002,18.755308151245117,28.165045928955077,13.847454833984376,12.736580276489258,19.795398330688478,20.99151153564453
1999-06-24,15.048301124572754,14.928730583190918,12.611436080932616,18.96544647216797,29.615695190429687,13.87123908996582,12.692715454101563,19.964496994018553,21.435047912597657
1999-07-01,14.947787094116212,14.70502529144287,12.752633094787598,18.861317443847657,30.05370674133301,14.046136093139648,12.662543487548827,20.092408752441408,21.901943969726563
1999-07-09,15.276246643066406,15.276721954345703,13.138980484008789,19.167695236206054,31.56558303833008,14.406428146362305,12.819954109191894,20.465290451049803,22.54246368408203
1999-07-16,15.134454727172852,15.458999824523925,12.985373878479004,19.065571212768553,32.53110809326172,14.41517333984375,12.852750205993653,20.627887344360353,22.28203125
1999-07-23,14.910092163085938,15.086153411865235,12.761941719055176,19.13765869140625,31.34421577453613,14.214040184020996,13.056074333190917,20.35689506530762,21.758829879760743
1999-07-30,14.849067687988281,14.870734024047852,12.52764892578125,18.801243591308594,30.458758544921874,14.02340145111084,13.00491542816162,20.04904899597168,21.21450309753418
1999-08-06,15.014194107055664,15.200493240356446,11.841844177246093,18.382722473144533,29.879449462890626,13.691090393066407,12.948508262634277,19.31845588684082,19.98743019104004
1999-08-13,15.132658767700196,15.823559761047363,11.626167678833008,18.28460578918457,29.71930694580078,13.413002967834473,12.71239414215088,18.884867095947264,19.712925720214844
1999-08-20,15.193684768676757,15.744017410278321,12.200262069702148,18.705126190185545,30.411659240722656,13.680601119995117,12.6310604095459,19.368315124511717,20.51767501831055
1999-08-27,14.990864944458007,15.619737434387208,12.40817813873291,19.14366569519043,31.476086807250976,14.264759826660157,12.621880722045898,19.49405517578125,20.80860824584961
1999-09-03,14.289065551757812,15.223694992065429,11.691334533691407,18.600994491577147,31.440769577026366,14.06187572479248,12.309676361083984,18.928225708007812,19.971009826660158
